seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
833388942914427071,1000,250,4,20,4,0.95,0.6,1.0,102,18,2,82,148,2052,0,98,7900,71
-7248408871797044420,1000,250,4,20,4,0.95,0.6,1.0,72,17,3,52,178,905,0,70,4613,63
-5835102967889239801,1000,250,4,20,4,0.95,0.6,1.0,66,18,2,46,184,868,0,60,4139,81
-8923641257294560021,1000,250,4,20,4,0.95,0.6,1.0,100,18,2,80,150,1979,0,92,7767,83
4352896691832853469,1000,250,4,20,4,0.95,0.6,1.0,83,18,2,63,167,1034,0,78,6141,69
1450403821691919128,1000,250,4,20,4,0.95,0.6,1.0,57,16,4,37,193,850,0,50,4241,73
3957684252202160796,1000,250,4,20,4,0.95,0.6,1.0,125,19,1,105,125,2483,0,113,9232,98
6705073860753963977,1000,250,4,20,4,0.95,0.6,1.0,83,19,1,63,167,1318,0,75,5590,88
-8387339785172532932,1000,250,4,20,4,0.95,0.6,1.0,110,16,4,90,140,2105,0,107,7683,70
-6854709339085059703,1000,250,4,20,4,0.95,0.6,1.0,79,18,2,59,171,1178,0,73,3816,68
-636753699608894726,1000,250,4,20,4,0.95,0.6,1.0,90,16,4,70,160,1612,0,89,5430,78
7125714164818123241,1000,250,4,20,4,0.95,0.6,1.0,103,17,3,83,147,1845,0,100,6624,71
-6608714341568420417,1000,250,4,20,4,0.95,0.6,1.0,119,14,6,99,131,2205,0,115,6903,63
-8561024691627278759,1000,250,4,20,4,0.95,0.6,1.0,147,13,7,127,103,2959,0,143,13232,69
-6190818087083809853,1000,250,4,20,4,0.95,0.6,1.0,60,19,1,40,190,1130,0,49,4767,92
-6595713754729060011,1000,250,4,20,4,0.95,0.6,1.0,95,17,3,75,155,1787,0,86,9802,64
7019833246477557065,1000,250,4,20,4,0.95,0.6,1.0,173,19,1,153,77,3526,0,153,15634,67
-4226090944625728782,1000,250,4,20,4,0.95,0.6,1.0,108,16,4,88,142,1738,0,95,7107,88
-5401307640366990196,1000,250,4,20,4,0.95,0.6,1.0,80,19,1,60,170,1252,0,71,6154,64
-7961951800657455950,1000,250,4,20,4,0.95,0.6,1.0,70,16,4,50,180,977,0,65,4321,95
-7416736398744209640,1000,250,4,20,4,0.95,0.6,1.0,69,17,3,49,181,1051,0,61,4687,75
8608327497353250263,1000,250,4,20,4,0.95,0.6,1.0,59,13,7,39,191,1010,0,55,4244,68
5050254054633163188,1000,250,4,20,4,0.95,0.6,1.0,96,18,2,76,154,1777,0,85,6028,59
-159267097351604595,1000,250,4,20,4,0.95,0.6,1.0,38,19,1,18,212,427,0,27,3067,81
5278204842384497429,1000,250,4,20,4,0.95,0.6,1.0,84,19,1,64,166,1351,0,80,5709,62
-5555343141648076060,1000,250,4,20,4,0.95,0.6,1.0,54,18,2,34,196,947,0,52,3920,69
