runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
2.29,2.27725712206593,2.0,81.76,63.12671700635161,68.5,2636854331338362782,1.15,1.3143439428094914,1.0,163.44,65.45934921766332,175.5
2.18,2.137194422601744,2.0,81.83,63.49174040770974,69.0,2636854331338362782,1.1,1.345362404707371,1.0,163.53,65.71855978336714,175.0
2.07,2.098833009079093,2.0,82.78,66.29262100716791,67.5,2636854331338362782,1.13,1.3686124360095526,1.0,162.66,68.70563586780928,179.0
1.97,2.099785703351654,1.0,82.14,66.26749127588882,65.0,2636854331338362782,1.1,1.330413469565007,1.0,163.43,68.65366049964123,180.5
1.94,2.091984703576965,1.0,81.22,68.3660120235194,64.0,2636854331338362782,1.05,1.2757350822173072,1.0,164.42,70.72498568398584,181.0
1.86,2.0592231544929755,1.0,77.19,65.72270460046511,65.5,2636854331338362782,0.98,1.26475294030099,1.0,168.59,67.93336367352936,182.5
1.79,2.016407696870848,1.0,75.08,65.87999392835431,63.0,2636854331338362782,0.94,1.093800713110026,1.0,170.81,68.00877810988813,184.5
1.77,1.958851704443193,1.5,74.07,66.14246064367424,61.5,2636854331338362782,0.85,0.9937303457175886,1.0,171.93,68.2038495980982,183.5
1.8,2.024845673131659,1.0,72.17,66.20378463501915,60.5,2636854331338362782,0.73,0.8815327560561771,1.0,173.89,68.26007544677928,184.0
1.75,1.9512816301087856,1.0,71.24,65.68395846780247,58.0,2636854331338362782,0.68,0.8704022058795586,0.0,174.92,67.63056705366294,185.0
1.7,1.85741756210067,1.0,70.12,65.38811512805671,60.5,2636854331338362782,0.65,0.8760707733967618,0.0,176.11,67.27390207205171,184.0
1.6,1.7146428199482258,1.0,68.1,62.833510167744066,63.0,2636854331338362782,0.68,1.0851727973000436,0.0,178.2,64.67132285642533,182.5
1.49,1.5264009958068034,1.0,66.91,61.85484540438201,64.5,2636854331338362782,0.66,1.0883014288330228,0.0,179.52,63.58214843806397,183.0
1.44,1.4513442045221392,1.0,63.09,59.34156974667927,55.5,2636854331338362782,0.6,0.989949493661166,0.0,183.45,61.02333570036957,191.5
1.41,1.510595908904827,1.0,60.27,57.56159396681088,54.0,2636854331338362782,0.58,0.929300812439115,0.0,186.32,59.161115608142495,194.5
1.3,1.4798648586948744,1.0,58.62,57.810687593212386,47.0,2636854331338362782,0.58,0.8738420909981387,0.0,188.08,59.39809424552274,198.5
1.21,1.35863902490691,1.0,54.22,57.37570566014853,28.0,2636854331338362782,0.6,0.9591663046625434,0.0,192.55,58.93154927540934,218.0
1.15,1.3219304066402287,1.0,52.98,57.315439455699895,26.5,2636854331338362782,0.54,0.9840731680114041,0.0,193.9,58.767593110489045,219.0
1.12,1.2270289320142371,1.0,50.28,56.10741127516043,27.5,2636854331338362782,0.49,0.9848350115628498,0.0,196.68,57.50928272896473,218.0
1.09,1.200791405698759,1.0,49.06,56.11021653852354,27.0,2636854331338362782,0.43,0.8277076778670108,0.0,197.97,57.3577292088869,219.5
1.1,1.1618950038622249,1.0,46.62,55.119466615706635,25.0,2636854331338362782,0.35,0.7123903424387504,0.0,200.47,56.27405352380438,220.5
1.01,1.1445086281894077,1.0,46.1,55.56878620232765,22.0,2636854331338362782,0.42,0.7769169839822017,0.0,201.01,56.70493717481752,225.5
0.98,1.1311940593903416,1.0,46.54,58.3346243666658,21.0,2636854331338362782,0.43,0.8031811750782007,0.0,200.59,59.50362930107709,227.0
1.01,1.2041179344233688,1.0,47.3,60.018247225323066,14.0,2636854331338362782,0.37,0.7437069315261214,0.0,199.86,61.05948247405967,231.0
0.99,1.2123943252918992,1.0,45.11,58.51852612634735,13.0,2636854331338362782,0.35,0.7262919523166975,0.0,202.09,59.49825123480522,231.5
0.97,1.1954497061775542,1.0,44.87,59.38832461014536,13.5,2636854331338362782,0.35,0.7533259586659685,0.0,202.35,60.356172012479384,230.5
0.88,1.0979981785048643,1.0,45.03,59.707194708845584,14.5,2636854331338362782,0.36,0.7282856582413253,0.0,202.27,60.640226747597175,231.0
0.87,1.0262066068779725,1.0,46.11,60.99112968293009,11.5,2636854331338362782,0.33,0.693613725354393,0.0,201.23,61.98239346782277,233.0
0.84,1.007174264961134,1.0,44.62,61.16792950558321,8.5,2636854331338362782,0.3,0.6082762530298222,0.0,202.78,62.10275034167167,237.5
