runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
9.44,5.559352480280416,8.5,161.74,45.95054297829351,161.5,1311292156631422334,3.98,3.082142112232984,3.0,74.0,49.49262571333228,71.0
9.07,5.353979828127857,8.0,161.46,45.637138385310706,162.5,1311292156631422334,3.98,2.9832197371296676,3.0,74.65,49.1103604140715,71.5
8.53,4.834159699472081,8.0,161.73,46.0360413154737,165.0,1311292156631422334,4.07,3.2718649116367873,3.0,74.82,49.56780810162983,69.0
8.11,4.743195125651062,7.0,159.96,48.56149091615701,164.0,1311292156631422334,3.98,3.2186332503098267,3.0,77.07,51.82378893905769,70.0
7.99,4.633562344460254,7.0,157.93,49.98744942483062,161.0,1311292156631422334,3.72,3.082466544830617,3.0,79.48,53.30224760739457,75.0
7.76,4.604606389258479,7.0,154.43,48.16435507717299,156.5,1311292156631422334,3.49,2.910309261917022,3.0,83.43,51.974850649136066,81.5
7.52,4.457532949962345,6.0,152.56,50.5751559562598,150.0,1311292156631422334,3.51,2.9512539707724237,3.0,85.51,54.6475058900221,83.0
7.23,4.249364658393064,6.0,151.15,50.98556168171534,153.0,1311292156631422334,3.27,2.795907723799196,3.0,87.44,55.01023904692652,83.5
6.85,4.09237095092808,6.0,146.49,52.72295420402768,147.0,1311292156631422334,3.17,2.7131347183654553,3.0,92.56,56.4689861782554,94.0
6.49,3.9102301722532915,6.0,141.92,55.025390502930556,146.5,1311292156631422334,3.26,2.855240795449658,2.5,97.4,58.96337846494211,96.0
6.27,3.9644797893292383,5.0,139.21,55.840360851269566,144.0,1311292156631422334,3.17,2.7020547736861293,3.0,100.41,59.65770612418819,99.0
5.91,3.7419112763399407,5.0,138.53,56.195988290980345,137.0,1311292156631422334,3.08,2.5949181104612915,3.0,101.53,59.785191310223304,108.0
5.67,3.569467747437985,5.0,136.1,55.77409793084957,137.5,1311292156631422334,2.82,2.4057431284324604,2.0,104.43,58.994449738937305,105.0
5.44,3.3386224704209964,5.0,132.64,56.992371419339975,136.0,1311292156631422334,2.72,2.5537423519219784,2.0,108.22,60.42277385224878,106.5
5.26,3.4018230406651067,5.0,132.17,57.91840035774468,134.5,1311292156631422334,2.59,2.3794747319524108,2.0,109.0,61.29078234122974,109.0
5.14,3.455488388057468,4.5,128.05,57.76250946764693,133.0,1311292156631422334,2.45,2.178875856950092,2.0,113.36,61.04990090082046,108.0
4.96,3.3938768392503573,4.0,127.66,57.61080107063258,136.5,1311292156631422334,2.41,2.1123209983333493,2.0,113.97,60.81339572824396,105.5
